Iterazione,Numero
1,6161
2,16442
3,14148
4,25096
5,22216
6,27477
7,8055
8,3877
9,14225
10,17625
11,652
12,27972
13,1113
14,12624
15,11250
16,28392
17,10023
18,28152
19,12805
20,9935
21,9808
22,27682
23,29664
24,7800
25,12522
26,31704
27,10610
28,30179
29,20354
30,2498
31,14805
32,12440
33,3346
34,29771
35,19418
36,21482
37,11309
38,15359
39,17641
40,14973
41,15485
42,4919
43,10760
44,16646
45,9327
46,4345
47,5945
48,12370
49,29485
50,2842
51,16649
52,2186
53,3789
54,23461
55,13414
56,4533
57,4807
58,5505
59,18609
60,21886
61,29357
62,27725
63,30740
64,26167
65,13590
66,21391
67,4630
68,5919
69,23260
70,6414
71,31852
72,2528
73,18055
74,32380
75,30226
76,13660
77,14344
78,5720
79,4251
80,18857
81,12459
82,26643
83,21446
84,5466
85,21319
86,8050
87,16209
88,20481
89,5303
90,19251
91,7954
92,28146
93,20622
94,28403
95,25923
96,24905
97,5639
98,27727
99,32542
100,27694
101,16699
102,1866
103,22442
104,26711
105,13463
106,2542
107,31956
108,10191
109,18060
110,19255
111,6849
112,21238
113,14216
114,7468
115,16739
116,26570
117,17446
118,26191
119,10314
120,15972
121,10146
122,27191
123,25789
124,14021
125,8847
126,1404
127,17930
128,29651
129,22988
130,24787
131,19482
132,18335
133,8628
134,24442
135,27720
136,13545
137,2453
138,19671
139,6259
140,10726
141,15203
142,3420
143,15442
144,22593
145,942
146,22189
147,9480
148,20063
149,5586
150,13061
151,1785
152,13799
153,24686
154,21462
155,5595
156,23426
157,1559
158,30639
159,25360
160,25567
161,20045
162,26467
163,30259
164,20987
165,8877
166,20072
167,21489
168,17055
169,27753
170,29309
171,26394
172,33066
173,26102
174,3727
175,32759
176,22928
177,13572
178,21726
179,24031
180,19363
181,24755
182,23644
183,30469
184,913
185,30724
186,32085
187,29332
188,15278
189,31885
190,24917
191,2302
192,27508
193,25970
194,19015
195,16016
196,26568
197,20112
198,21722
199,11339
200,22655
201,10235
202,14889
203,19183
204,10017
205,31147
206,21658
207,29784
208,19181
209,3954
210,27654
211,3853
212,5661
213,8497
214,3355
215,6167
216,26731
217,19276
218,28671
219,32527
220,27347
221,27483
222,12854
223,2171
224,14491
225,13603
226,26566
227,10843
228,6545
229,5060
230,18329
231,5886
232,12692
233,11059
234,30498
235,27162
236,18773
237,3563
238,14660
239,11292
240,5215
241,31456
242,1135
243,8125
244,6229
245,14261
246,17420
247,3542
248,6523
249,23342
250,18715
251,885
252,12408
253,7144
254,11802
255,13872
256,27995
257,30536
258,12841
259,697
260,11227
261,17585
262,20333
263,14771
264,31971
265,2298
